iter	Passed	Remaining
753	1166	380
754	1167	378
755	1168	377
756	1170	375
757	1171	373
758	1172	372
759	1174	370
760	1175	369
761	1176	367
762	1177	365
763	1179	364
764	1180	362
765	1181	361
766	1183	359
767	1184	357
768	1185	356
769	1187	354
770	1188	352
771	1189	351
772	1190	349
773	1192	348
774	1193	346
775	1194	344
776	1196	343
777	1197	341
778	1198	340
779	1200	338
780	1201	336
781	1202	335
782	1204	333
783	1205	332
784	1206	330
785	1208	328
786	1209	327
787	1211	325
788	1212	324
789	1213	322
790	1215	321
791	1216	319
792	1217	317
793	1219	316
794	1220	314
795	1221	313
796	1223	311
797	1224	309
798	1225	308
799	1226	306
800	1228	305
801	1229	303
802	1231	302
803	1232	300
804	1233	298
805	1234	297
806	1236	295
807	1237	294
808	1238	292
809	1240	290
810	1241	289
811	1242	287
812	1243	286
813	1245	284
814	1246	282
815	1247	281
816	1249	279
817	1250	278
818	1251	276
819	1252	275
820	1254	273
821	1255	271
822	1256	270
823	1258	268
824	1259	267
825	1260	265
826	1261	263
827	1263	262
828	1264	260
829	1265	259
830	1267	257
831	1268	256
832	1269	254
833	1271	252
834	1272	251
835	1273	249
836	1274	248
837	1276	246
838	1277	245
839	1278	243
840	1280	242
841	1281	240
842	1282	238
843	1283	237
844	1285	235
845	1286	234
846	1287	232
847	1289	231
848	1290	229
849	1291	227
850	1292	226
851	1294	224
852	1295	223
853	1296	221
854	1298	220
855	1299	218
856	1300	217
857	1301	215
858	1303	213
859	1304	212
860	1305	210
861	1307	209
862	1308	207
863	1309	206
864	1311	204
865	1312	203
866	1313	201
867	1314	199
868	1316	198
869	1317	196
870	1318	195
871	1320	193
872	1321	192
873	1322	190
874	1323	189
875	1325	187
876	1326	186
877	1327	184
878	1328	182
879	1330	181
880	1331	179
881	1332	178
882	1334	176
883	1335	175
884	1336	173
885	1338	172
886	1339	170
887	1340	169
888	1341	167
889	1343	166
890	1344	164
891	1345	162
892	1347	161
893	1348	159
894	1349	158
895	1350	156
896	1352	155
897	1353	153
898	1354	152
899	1356	150
900	1357	149
901	1358	147
902	1359	146
903	1361	144
904	1362	143
905	1363	141
906	1365	139
907	1366	138
908	1367	136
909	1369	135
910	1370	133
911	1371	132
912	1373	130
913	1374	129
914	1375	127
915	1376	126
916	1378	124
917	1379	123
918	1380	121
919	1382	120
920	1383	118
921	1384	117
922	1386	115
923	1387	114
924	1388	112
925	1389	111
926	1391	109
927	1392	108
928	1393	106
929	1395	105
930	1396	103
931	1397	101
932	1399	100
933	1400	98
934	1401	97
935	1402	95
